

Transport -> Transport ( frequency = 16980  performance = 300.555 )
Welding -> Welding ( frequency = 3926  performance = 87.913 )
Painting -> Painting ( frequency = 3926  performance = 55.779 )
Sawing -> Sawing ( frequency = 2627  performance = 32.119 )
Drilling -> Drilling ( frequency = 2589  performance = 29.204 )
Welding -> Transport ( frequency = 1308  performance = 0.000 )
Transport -> Welding ( frequency = 1308  performance = 0.000 )
Transport -> Painting ( frequency = 1308  performance = 0.000 )
Transport -> Drain ( frequency = 1308  performance = 0.000 )
Painting -> Transport ( frequency = 1308  performance = 0.000 )
Drain -> Drain ( frequency = 1308  performance = 0.000 )
Arrival -> Transport ( frequency = 1308  performance = 0.000 )
Arrival -> Arrival ( frequency = 1308  performance = 0.000 )
Transport -> Sawing ( frequency = 875  performance = 0.000 )
Sawing -> Transport ( frequency = 875  performance = 0.000 )
Transport -> Drilling ( frequency = 863  performance = 0.000 )
Drilling -> Transport ( frequency = 863  performance = 0.000 )


