

Transport -> Transport ( frequency = 3746  performance = 452.880 )
Welding -> Welding ( frequency = 940  performance = 77.037 )
Painting -> Painting ( frequency = 938  performance = 74.710 )
Drilling -> Drilling ( frequency = 938  performance = 27.669 )
Welding -> Transport ( frequency = 313  performance = 0.000 )
Transport -> Welding ( frequency = 313  performance = 0.000 )
Transport -> Painting ( frequency = 313  performance = 0.000 )
Arrival -> Transport ( frequency = 313  performance = 0.000 )
Arrival -> Arrival ( frequency = 313  performance = 0.000 )
Transport -> Drilling ( frequency = 312  performance = 0.000 )
Transport -> Drain ( frequency = 312  performance = 0.000 )
Painting -> Transport ( frequency = 312  performance = 0.000 )
Drilling -> Transport ( frequency = 312  performance = 0.000 )
Drain -> Drain ( frequency = 312  performance = 0.000 )


